2025-06-27 00:00:05,783 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:05.7833080Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:05,786 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:05.7867110Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:05,989 [17] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:05.9891570Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:05,992 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:05.9928320Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:06,196 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:06.1962230Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:06,199 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:06.1996300Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:06,419 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:06.4192820Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:06,422 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:06.4227600Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:06,622 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:06.6227730Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:06,625 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:06.6259180Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:06,827 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:06.8275420Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:06,831 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:06.8313450Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:07,028 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:07.0284590Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:07,031 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:07.0311660Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:07,248 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:07.2489610Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:07,252 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:07.2522520Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:07,446 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:07.4467170Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:07,453 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:07.4539060Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:07,646 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:07.6460780Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:07,648 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:07.6487470Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:07,866 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:07.8666910Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:07,872 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:07.8729100Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:08,078 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:08.0785620Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:08,081 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:08.0816840Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:08,278 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:08.2783900Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:08,282 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:08.2822950Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:08,484 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:08.4847810Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:08,488 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:08.4885060Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:08,911 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:08.9114370Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:08,919 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:08.9196210Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:09,182 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:09.1821620Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:09,187 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:09.1879320Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:09,314 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:09.3149490Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:09,318 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:09.3185020Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:09,521 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:09.5211680Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
